Variable,Section,Label,Definition,Type,Format,Choices/Unit,Ranges,
innovation,Innovation Characteristics,Innovation Name,Primary name for the innovation as reported by the source used in the horizon scan.,text,string,,,
alternative_names,Innovation Characteristics,Alternative Names,"Other names used for the same innovation (generic name, brand names, synonyms, registry names, database aliases).",text,list,,,
category,Innovation Characteristics,Innovation Category,"High-level category of the innovation, used to drive downstream fields like technology and readiness requirements.",text,factor,Medical Device; Diagnostic; Therapeutics; Vaccine,,
technology,Innovation Characteristics,Technology,Technology classification within the innovation category (more specific than category). Should be a controlled vocabulary to support filtering and comparison.,text,factor,"Diagnostics: RDT, molecular (PCR/NAAT), antigen, antibody/serology, culture, imaging, biosensor, multiplex panel, AI/algorithmic. Therapeutics: small molecule, biologic/monoclonal, gene therapy, cell therapy, drug-device combination, long-acting formulation, repurposed drug. Vaccines: mRNA, viral vector, protein subunit, conjugate, live attenuated, inactivated, DNA, nanoparticle. Devices: implantable, wearable, point-of-care device, digital health, decision support, specimen collection, cold-chain/logistics.",,
disease,Innovation Characteristics,Disease,Disease domain targeted by the innovation (primary classification for the scan).,text,factor,Malaria; HIV; Tuberculosis; MNCH,,
indication,Innovation Characteristics,Indication,"Specific clinical indication and use-case (what condition, stage, population, setting, and intent). Example: “uncomplicated falciparum malaria treatment”, “TB preventive therapy”, “PPH prevention”, “pediatric HIV viral load monitoring”.",text,string,Free text: condition + intent + population + setting,,
archetype,Innovation Characteristics,Archetype,"Maturity archetype aligned to Young et al definitions, used as a simplified development stage label.",text,factor,Senegal; South Africa; Kenya; Overall,,
country,Innovation Characteristics,Country,Country marker for where the data comes from,,factor,,,
trial_status,Regulatory,Clinical Trial Status,Most advanced known clinical development status (or best available evidence stage) at the time of extraction.,text,factor,Preclinical; Phase 1; Phase 2; Phase 3; Phase 4; Observational; Implementation/Pilot; Not in trials; Unknown,,
date_trial_status,Regulatory,Date Trial Status,"Date the trial status was last verified or updated (from registry update date, publication date, or extraction date).",date,dd-mm-YYYY,,Must be a valid date,
nra,Regulatory,National Regulatory Approval (NRA),Whether the innovation has approval/authorization by a national regulatory authority relevant to the setting being evaluated.,binary,factor,Yes; No; Unknown,,
nra_date,Regulatory,NRA Date,Date of NRA approval/authorization (if known).,date,dd-mm-YYYY,,Must be a valid date,
nra_body,Regulatory,NRA Body,"Name of the national regulatory authority granting approval (for example: SAHPRA, PPB, DPM/Ministry authority).",text,factor,Recommended to store as controlled list per country; allow “Other”,,
nra_note,Regulatory,NRA Note,"Free-text notes supporting NRA fields (scope, conditions of approval, evidence, link/reference, ambiguity).",text,string,,,
gra,Regulatory,Global Regulatory Approval (GRA),Whether the innovation has approval/authorization/prequalification by a global body.,binary,factor,Yes; No; Unknown,,
gra_date,Regulatory,GRA Date,Date of global approval/prequalification (if known).,date,dd-mm-YYYY,,Must be a valid date,
gra_body,Regulatory,GRA Body,"Global body granting approval or listing (for example: WHO PQ, FDA, EMA, Global Fund listing where applicable).",text,factor,WHO PQ; FDA; EMA; Other,,
gra_note,Regulatory,GRA Note,"Notes supporting GRA fields (type of approval, scope, link/reference, ambiguity).",text,string,,,
eml,Regulatory,In Essential Medicine List,Whether the innovation is listed on a country Essential Medicines List (or equivalent national formulary list).,binary,factor,Yes; No; Unknown,,
